Created date|PID|Adviser|Title DE|Title EN|Abstract DE|Abstract EN
2016-04-19T12:18:46.656Z|o:7094|Roman Horak, Prof.  |Zenit||Vorwort Diese Diplomarbeit beschäftigt sich mit einem im Königreich der Serben, Kroaten und Slowenen (ehem. Jugoslawien) unbekannten aber umso bedeutenden Teil der europäischen Avantgard, die nach dem 1.Weltkrieg entstanden ist. Das Hauptaugenmerk liegt auf den drei Perioden der avantgardistischen Zeitschrift Zenit, welche von Ljubomir Micić 1921 gegründet wurde. Die Arbeit setzt sich mit den Ansichten, Ideen und revolutionären Gedanken, wie z.B. Kampf für Individualität, Vernichtung der Tradition oder der Entstehung eines neuen Menschen (neuer Geist!), einer neuen Zeit, auseinander. Die Typographie und das Graphikdesign dieser Zeitschrift hinterließen einen so großen Eindruck bei mir, dass ich mich mit dieser Thematik besonderes beschäftigt habe. Im Zuge meiner Recherchen stieß ich besonders auf den Einfluss der russischen Avantgarde, die diese sowohl auf Ljubomir Micić, als auch auf die europäische Avantgarde ausübte. Gleichzeitig wird der Frage nachgegangen, wie Zenitisten die Beziehung zwischen Europa und dem Königreich der Serben, Kroaten und Slowenen, kritisch hinterfragten. Dies geschieht hier durch symbolische Persönlichkeiten wie z.B. Barbarogenie bei Ljubomir Micić, welche reformistische Ideen durch Kunst, Poesie (Poetische Revolution), Literatur oder Zeitschriften transportierten. Ljubomir Micić und die Zenitisten zeigen sehr deutlich , wie man durch Kunst, Poesie und Literatur , der damaligen Gesellschaft auf „friedlichem“, aber kritischem Wege entgegen treten kann. Bereits im ersten Erscheinungsjahr schreiben über 60 weltweit renommierte Zeitschriften begeistert über Zenit und Zenitismus. „Wir müssen jene lieben die uns auf neue frische Art erregen. Dieses Mal Zenitismus“.|Foreword This thesis deals with an unknown but all the more significant part of the European avant-garde in the Kingdom of Serbs, Croats and Slovenes (former Yugoslavia), which emerged after the WWI. The main focus is on the three periods of the avant-garde magazine Zenit, which was founded by Ljubomir Micić in 1921. The work deals with the views, ideas and revolutionary thoughts, such as struggle for individuality, destruction of tradition or the emergence of new kind of people (new spirit!), a new time. The typography and the graphic design of this magazine have left such a great impression on me that I have particularly engaged myself with it. Throughout the course of my research, I recognized especially the influence of the Russian avant-garde, on both Ljubomir Micić, as well as the European avant-garde. At the same time, the question concerning how Zenitists critically challenged the relationship between Europe and the Kingdom of Serbs, Croats and Slovenes, was raised. This is here done by symbolic figures such as Barbarogenie by Ljubomir Micić, which transformed the reformist ideas through art, poetry (poetic revolution), literature or magazines. Ljubomir Micić and Zenitists show very clearly how one can through art, poetry and literature oppose the society of that time by "peaceful" but critical means. Already in the first year of the publication, over 60 world renowned magazines wrote enthusiastically about Zenit and Zenitism. „We need to love those who stimulate us in a new fresh way. This time Zenitism“.
2016-04-19T12:07:17.547Z|o:7092|Renate Vergeiner, Univ.-Prof.  |Vampirsein als schönstes Sein||Der Vampir hat sein Grab verlassen. Er ist aus der Dunkelheit direkt ins Rampenlicht getreten und erfreut sich. Die Vampirfigur ist folglich nicht mehr aus der Konsumkultur wegzudenken. Diese Arbeit hat sich das Ziel gesetzt den Grund die Neuauflage des Vampirmythos zu untersuchen. Zu diesem Zweck wurde die Fragestellung im Zuge einer Literaturstudie ausgewertet. Der Vampir zeichnet sich durch seine Vielfältigkeit und Wandelbarkeit aus. Dieser Aspekt erlaubt es ihm, dass er als Projektionsfläche sowie als Spiegel des Menschen betrachtet wird. Zusätzlich wird der Vampirkörper als idealer Körper aufgefasst, wodurch er auch Erinnerungen an Gott wachruft. Ein Teil der bisherigen Unterschiede zwischen Mensch und Vampir haben sich durch den beidseitigen Wandel in Gemeinsamkeiten umgekehrt. Dennoch gibt es zahlreiche Herausforderungen, die zu bestehen für den Menschen unmöglich und für den Vampir möglich sind. Aufgrund dessen lässt sich die Faszination für das vampirische Wesen erklären.|The vampire has left his grave. He has emerged from the darkness directly into the spotlight and enjoys. The vampire figure is an essential part of the consumer culture. Therefore, the aim of this theses is to investigate the reason for the remake of the vampire myth. Thus, the research was evaluated as part of a literature study. The vampire is characterized by his diversity and versatility. This aspect allows him to be regarded as a projection as well as a mirror of the human. In addition, the vampire body is seen as an ideal body, by triggering memories of God. Some of the initial differences between the human and vampire have been reversed by the both-sided change they had in common. Nevertheless, there are many challenges that are impossible for a human and possible for a vampire. Due to this, the fascination of the vampire can be explained.
2016-04-10T08:45:59.255Z|o:7074|Patrick Werkner, Univ.-Prof. Dr.  |Die Besteckentwürfe von Josef Hoffmann im Kontext der Wiener Werkstätte||Mehr als 100 Jahre nach der Gründung der Wiener Werkstätte (WW) gehören deren Produkte zu den gefragtesten Sammlerstücken der Welt und die Wiener Werkstätte zu den kunsthistorisch interessantesten Unternehmen Österreichs. Die Bewegung der Wiener Werkstätte hatte sich zum Ziel gesetzt, den Kunstbegriff zu erneuern und Alltagsgegenstände zu verschönern bzw. zweckdienlich zu machen. Mit großer Sorgfalt wurde vom Löffel bis zum Kleiderschrank jeder Gebrauchsgegenstand zum Kunstwerk erhoben und durchdesignt. Am Beginn der Arbeit steht ein kurzer historischer Abriss der politischen, wirtschaftlichen sowie gesellschaftlichen Rahmenbedingungen in Wien um 1900. Es folgt ein Überblick über die Gründung und die Geschichte der Wiener Werkstätte und deren wichtigste Aspekte. Dazu zählen die Akteure, die Philosophie und die ersten Aufträge sowie einige ihrer Ausstellungen. Besonderes Augenmerk wird auf die Ausstellung „Der gedeckte Tisch“ aus dem Jahre 1906 gelegt. Diese sorgte für viel Aufsehen sowie für positive, aber auch negative Kritik. Damit verbunden ist ein Überblick über Silbergegenstände und das Wiener Silber bzw. die Entstehung des modernen Gebrauchsgegenstands. Von besonderem Interesse sind dabei die Besteckentwürfe des Gründungsmitglieds der Wiener Werkstätte, Josef Hoffmann. Abschließend wurden die Arbeiten Hoffmanns mit anderen Besteckentwürfen jener Zeit verglichen, die zeitgenössische und spätere Rezeption dargelegt und in den Kontext seines gesamten Schaffens sowie der Bedeutung der Wiener Werkstätte eingeordnet.|More than 100 years after the founding of the Wiener Werkstätte (Viennese Workshops) (WW) their products still belong to the most sought-after collector's item of the world of one of the most popular art-history companies of Austria. The aim of the movement of the Viennese Workshops was to renew the terminus of art and to manufacture everyday objects that are not only practical but also aesthetic. The design of every single commodity- from spoon to wardrobe- was made with great care and transformed the products into great works of art. At the beginning of this paper a short historical summary of the political, economical and social situation of Vienna of the 19th century is given. This is followed by an overview of the founding and history of the Viennese workshops and their most important aspects as participants, philosophy, their first orders as well as some of their exhibitions. In this context special attention will be placed on the exhibition called "the set table" of the year 1906, which caused a lot of sensation and criticism. Linked to this an overview of silver objects and the Vienna silver as well as the emergence of the modern commodity is given with an emphasis on the cutlery designs of one of the founding members of the Viennese workshops, Josef Hoffman. The final assessment is divided into the comparison of Hoffman's art works with other cutlery designs of that era and the reception of his works contemporary and at present, embedded in the context of all his art works and the importance of the Viennese Workshops.
2016-04-07T08:49:41.329Z|o:7071|t t,   |test||test|test
2016-04-04T21:16:54.365Z|o:7065|Marion Elias, Univ.-Prof. Mag. art.Dr. phil.  |Vom Garten Eden zum Guerilla Gardening||Die Diplomarbeit beschäftigt sich mit dem Thema Garten vom Sündenfall bis heute. Der Sündenfall löste mit der Erkenntnis von Gut und Böse die Einheit mit der Natur auf und kennzeichnet den Beginn von Kultur. Dieser verlorenen Einheit mit der Natur gilt seitdem unsere Sehnsucht. Der Garten, als domestizierte Form von Natur, definiert sein Verhältnis zur Natur. Vor allem aber zeigt der Garten die politischen, gesellschaftlichen und sozialen Zustände einer jeweiligen Zeit und Epoche auf. In Zeiten des Krieges und der wirtschaftlichen Depression spielt der Garten eine wichtige Rolle zur Selbsthilfe, sowohl für die Ernährung, als auch für die Psyche des Menschen. Die aus Platzmangel verdrängten Gärten, kehren im 20.Jahrhundert in die Stadt zurück. In den 70er Jahren initiieren autonome Gruppen des Guerilla Gardening, das Besetzen und Bepflanzen von Brachflächen und stellen damit neue Fragen an das gesellschaftliche Zusammenleben in der Stadt. Es geht im 20. und 21.Jahrhundert vor allem um einen Wertewandel, der mit dem Garten in der Stadt auch Fragen, wie „Wem gehört der öffentliche Raum“ und „Wie wollen wir in Zukunft leben“, stellt. Hinter dem realen Raum des Gartens eröffnet sich ein imaginärer Raum, eine Projektionsfläche. So wird der Garten zum Ort der Utopie, an dem der Mensch mit sich und der Natur verbunden ist.|The thesis deals with the theme of the fall garden today. The fall broke with the knowledge of good and evil to the union with nature and marks the beginning of culture. This lost unity with nature applies since our longing. The garden, as domesticated form of nature, defined his relationship to nature. But above all, shows the garden to the political and social conditions of a particular time and era. In times of war and economic depression of the garden plays an important role to help themselves, both in the diet, as well as for the human psyche. The repressed for lack of space gardens, return to the city in the 20th century. In the 70s initiate autonomous groups of Guerilla Gardening, occupying and planting of fallow land and poses new challenges to the social life in the city. It is in the 20th and 21th century mainly to a change in values, of the garden in the city also questions as "Who owns the public space" and "How do we want to live in the future”, notes. Behind the real space of the garden opens up an imaginary space, a projection surface. So the garden becomes a place of utopia, in which man is connected with yourself and nature.
2016-04-01T10:24:09.854Z|o:7059|Roman Horak, Prof.  |„Der Dior von Budapest“. Haute Couture in Österreich unter besonderer Berücksichtigung des Couturiers László Havas||Die vorliegende Arbeit setzt sich zum Ziel, nach einem Überblick über die Haute Couture in Österreich die Beteiligung von László Havas an der österreichischen Haute Couture zu würdigen und vor dem Vergessen zu retten. Einem Abschnitt zu Ursprung, Entwicklung und Begriffsabgrenzungen zum und rund um den Begriff der Haute Couture folgt ein Kapitel zur Anwendbarkeit des Haute-Couture-Begriffs für Österreich. Danach wird ein straffer Überblick zur geschichtlichen Entwicklung der Haute Couture in Österreich gegeben. Der zweite Teil der Arbeit ist dem Couturier László Havas gewidmet. Die Ausführungen zu diesem Teil basieren auf dem Bestand der Kostüm- und Modesammlung der Universität für angewandte Kunst sowie auf Informationen von Zeitzeuginnen. Die Daten aus den Interviews mit Zeitzeuginnen wurden, sofern möglich, überprüft und belegt. Auch die Presse der Zeit wurde herangezogen.|Die vorliegende Arbeit setzt sich zum Ziel, nach einem Überblick über die Haute Couture in Österreich die Beteiligung von László Havas an der österreichischen Haute Couture zu würdigen und vor dem Vergessen zu retten. Einem Abschnitt zu Ursprung, Entwicklung und Begriffsabgrenzungen zum und rund um den Begriff der Haute Couture folgt ein Kapitel zur Anwendbarkeit des Haute-Couture-Begriffs für Österreich. Danach wird ein straffer Überblick zur geschichtlichen Entwicklung der Haute Couture in Österreich gegeben. Der zweite Teil der Arbeit ist dem Couturier László Havas gewidmet. Die Ausführungen zu diesem Teil basieren auf dem Bestand der Kostüm- und Modesammlung der Universität für angewandte Kunst sowie auf Informationen von Zeitzeuginnen. Die Daten aus den Interviews mit Zeitzeuginnen wurden, sofern möglich, überprüft und belegt. Auch die Presse der Zeit wurde herangezogen.
2016-04-01T08:14:21.265Z|o:7057|Alison Clarke, Dr.  ||THE NEW NEW MUSEUM|Das neue New Museum in New York City ist ein architektonisches Symbol, eine Marke, ein Name und ein Behälter von künstlerischen Objekten. Mit einer frischen Perspektive auf den Möglichkeitsraum Museum, das dem Neuen in allen Aspekten des institutionellen Programmes von “New Art, New Ideas” gewidmet ist, bezieht es sich weiterhin auf ein Erbe als einer Institution die ursprünglich zwischen einem alternativen Ausstellungsraum und Museum gegründet wurde. Roh und zusammengestückelt, flexibel und gemeinschaftlich organisiert: frühe alternative Ausstellungsorte präsentierten künstlerische Praxen, die die Vorstellung von dem, was ein Ausstellungsraum sein sollte aufbrachen um Installationen, Performance-Art und politische Kunst einer neuen Öffentlichkeit zu präsentieren. Der Begriff des alternativen Ausstellungsraums wird heute nunmehr eher als Referenz in der Reorganisation von daraus hervor gewachsenen Institutionen und deren Branding verwendet. Von einem diskursiven Standpunkt aus beschäftigt sich diese Studie mit der repräsentativen Rolle von Kultur in der Aufwertung und Urbanisierung eines vormals heruntergekommenen Viertels in Manhattan, auch mithilfe des nun ansässigen New Museum. Unter diesem diskursiven Fokus setzt sich die Autorin mit einem Teil der Corporate Identity des New Museum auseinander, das von der Appropriation der eigenen alternativen Geschichte geprägt ist und damit auch den negativen Implikationen der Urbanisierung und der eignen Komplizenschaft in der Gentrifizierung der “Bowery” entgegenwirken möchte.|The new New Museum in New York City is an architectural icon, a brand, a name and a container of objects. Even though the institution engages a fresh perspective on museum making in every aspect of its programming devoted to “New Art, New Ideas”, it continues to draw from and build on its legacy of an institution founded as an in-between of an alternative art space and a museum. Raw, scrappy, flexible, collaborative – alternative spaces exhibited early installation-based practices that morphed the understanding of exhibition space altogether and helped to break open conservative museum practices in order to incorporate ephemeral, installative, performative and political art practices, making them more accessible for a new public. These notions of alternative space are today used merely as reference points in the reconceptualization of institutions and their branding. From a discursive perspective, this study investigates the representative role of culture in the gentrification and urbanization of a formerly run-down neighborhood in Manhattan that is now rejuvenated and gentrified, with the help of an institution that made its streets fashionable. With this discursive focus in mind, the author inquires how alternative history today is re-performed as part of the New Museum’s identity program as a narrative to balance the negative implications of the institution’s relocation and its spatial effects on the “Bowery”.
2016-03-30T21:01:05.516Z|o:7054|David Moises, Magister  |Stoffwechselmaschine||Das leise Surren eines Motors lässt sich vernehmen, maschinengesteuerte Organe setzen sich in Bewegung. Pneuma, die an einer medizinisch anmutenden Metallvorrichtung hängende Lunge, und Organ, der Magen in einer Kühlbox – sie stellen sich als scheinbar unabhängige Bestandteile dar, als Quasi-Maschinen. Ebenso scheint das Hautfragment im Gänsehautsimulator durch Hochspannung belebt zu sein. Die Reihe kinetischer Objekte thematisiert das Körperinnere und die Flüchtigkeit seiner Substanz. Die Erkenntnis des Funktionierens tritt meistens erst durch Dysfunktionen in das Bewusstsein. Im Ablauf ihrer Funktionen entwickeln die Organe ein Eigenleben. Dieses weist – durchaus beabsichtigt – Aspekte des Unheimlichen und des Komischen auf. Solche Aspekte entstehen immer da, wo Menschliches „maschinenhaft“ wirkt und Maschinelles humane Züge annimmt.|One can hear the quiet hum of a motor; machine-controlled organs are set in motion. Pneuma, a lung hanging on a medical-like metal instrument, and organ, the stomach in a cooling box – they appear to be autonomous components, quasi-machines. Also the skin fragment in the goose bump simulator seems to be animated by the high voltage. The series of kinetic objects thematises the inner body and the transience of its substance. Usually, one only becomes aware of functioning through dysfunctions. In the operation of their functions the organs take on their own life. This (intentionally) reveals aspects of the uncanny and the comical. Such aspects always emerge where the human seems “mechanical” and the machine adopts human traits.
2016-02-24T14:01:52.882Z|o:7047|Helmut Draxler, Univ.-Prof. Dr. phil.  |Kunst im Museum, Museum in der Kunst.||Im Laufe des 20. Jahrhunderts wird das Kunstmuseum nicht mehr ausschließlich als Präsentations- und Aufbewahrungsort wahrgenommen, sondern entwickelt sich zum künstlerischen Medium. Durch das künstlerische Bearbeiten der musealen Strukturen wird diese Institution nicht nur kritisiert, sondern auch reflektiert, analysiert und ergänzt. Marcel Duchamp schafft sich eine eigene Retrospektive und sorgt für eine Historisierung seines künstlerischen Schaffens. Florine Stettheimer stellt in ihrer Malerei auf ironische Art die Konflikte der New Yorker Kunstszene der 1940ger Jahre dar. Marcel Broodthaers gründet sein eigenes Museum und treibt dies bis zur Absurdität. Claes Oldenburg gründet ebenfalls ein Museum, um seine eigene Sammlung von Trivialitäten zu präsentieren. Daniel Spoerri erzählt die Stadtgeschichte von Köln auf humorvolle und sentimentale Art und Fred Wilson macht auf einen, bislang ignorierten, Teil der Geschichte von Baltimore aufmerksam. Diese Diplomarbeit soll aufzeigen, wie die ausgewählten Kunstbeispiele nicht nur als reine institutionskritische Werke funktionieren, sondern wie die museale Struktur als Kunstform verwendet wird sowie welche Gemeinsamkeiten und Unterschiede zwischen den Beispielen im Umgang mit dieser Thematik bestehen.|During the 20th century the art museum is no longer perceived solely as a presentation and storage space but develops to an artistic medium. Trough the artistic editing of museums structures this institution is not only criticized, but also reflected, analyzed and supplemented. Marcel Duchamp creates his own retrospective and ensures a historization of his artistic career. Florine Stettheimer shows in an ironic way the conflicts of the New York art scene during the 1940s. Marcel Broodthaers founds his own museum and pushed it to absurdity. Claes Oldenburg founds a museum as well to present his collection of trivialities. Daniel Spoerri tells the history of the city of Cologne in a humorous and sentimental way and Fred Wilson draws attention to a previously ignored part of the history of Baltimore. This thesis demonstrates how the selected examples of art do work not only as a pure institutional critique, but how the museum structure is used as an art form and what similarities and differences between the examples exist in dealing with these issues.
2016-02-10T02:59:16.903Z|o:7044|Jo Schmeiser,   |Jambalaya||Jambalaya ist die Bezeichnung eines auf Langkornreis aufbauenden Gerichts. Es bestehen jedoch zahlreiche weitere Theorien.|Jambalaya is the name of a dish that includes long grain rice. However, there are also numerous other theories.
